"switch to allstate from progressive"	2
"switched to progressive from allstate"	7
"switch to allstate from geico"	6
"switch to progressive from geico"	1
"switch from geico to allstate"	528
"switch from allstate to state farm"	7
"switch to state farm from progressive"	10
"switched to allstate from geico"	138
"switch to allstate from state farm"	8
"switch from state farm to progressive"	7
"switch to state farm from allstate"	3
"switch from state farm to geico"	1270
"switch from progressive to allstate"	5
"switch from geico to state farm"	929
"switch to geico from progressive"	5
"switch from progressive to geico"	1010
"switched to progressive from state farm"	202
"switched to state farm from geico"	445
"switched from state farm to allstate"	1520
"switch to state farm from geico"	3
"switched to state farm from allstate"	243
"switched from allstate to progressive"	458
"switched to geico from allstate"	262
"switch from allstate to progressive"	3
"switched from geico to allstate"	1740
"switch to geico from state farm"	4
"switch to progressive from state farm"	1
"switched from allstate to state farm"	1200
"switched from geico to progressive"	997
"switched to geico from state farm"	484
"switch from state farm to allstate"	586
"switched to allstate from state farm"	8
"switch from allstate to geico"	511
"switch to geico from allstate"	5
"switch to progressive from allstate"	1
"switched from allstate to geico"	1560
"switched to state farm from progressive"	291
"switched from progressive to state farm"	359
"switched from state farm to geico"	1790
"switch from progressive to state farm"	3
"switched to geico from progressive"	380
"switched to allstate from progressive"	5
"switch from geico to progressive"	657
"switched from geico to state farm"	1270
"switched from progressive to allstate"	1120
"switched from state farm to progressive"	861
"switched to progressive from geico"	178
"switched from progressive to geico"	2580
"switch from progressive to statefarm"	1
"switch from state farm to statefarm"	0
"switched from allstate to statefarm"	76
"switch from allstate to statefarm"	3
"switch to state farm from statefarm"	0
"switch from statefarm to state farm"	0
"switch to allstate from statefarm"	0
"switched to statefarm from progressive"	0
"switched from statefarm to state farm"	0
"switch from statefarm to geico"	0
"switched to statefarm from allstate"	2
"switch from geico to statefarm"	3
"switch to progressive from statefarm"	0
"switched from statefarm to geico"	108
"switched from geico to statefarm"	54
"switched to geico from statefarm"	5
"switched to progressive from statefarm"	2
"switched from statefarm to progressive"	3
"switch to statefarm from geico"	1
"switched to statefarm from state farm"	0
"switch to statefarm from state farm"	0
"switched to state farm from statefarm"	0
"switched from state farm to statefarm"	0
"switch to statefarm from allstate"	4
"switched to allstate from statefarm"	1
"switch from statefarm to progressive"	2
"switch to geico from statefarm"	0
"switched to statefarm from geico"	1
"switched from progressive to statefarm"	3
"switched from statefarm to allstate"	7
"switch to statefarm from progressive"	0
"switch from statefarm to allstate"	6
